================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۳_۱۸۰۰۳۴.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 5687
================================================================================

[00:00:32.971 --> 00:00:36.532] doctor
[00:00:40.548 --> 00:00:44.041] doctor
[00:00:44.412 --> 00:00:54.031] doctor
[00:00:45.155 --> 00:00:49.289] patient_1
[00:01:15.698 --> 00:01:17.572] doctor
[00:01:18.061 --> 00:01:21.942] doctor
[00:01:23.377 --> 00:01:26.768] doctor
[00:01:26.971 --> 00:01:30.177] doctor
[00:01:30.802 --> 00:01:42.209] doctor
[00:01:42.361 --> 00:01:47.018] doctor
[00:01:44.386 --> 00:01:44.926] patient_1
[00:01:47.255 --> 00:01:54.595] doctor
[00:01:54.865 --> 00:02:00.569] doctor
[00:01:57.346 --> 00:01:58.747] patient_1
[00:02:01.008 --> 00:02:01.750] doctor
[00:02:03.252 --> 00:02:10.475] doctor
[00:02:13.580 --> 00:02:14.423] doctor
[00:02:16.297 --> 00:02:19.182] doctor
[00:02:22.321 --> 00:02:22.827] doctor
[00:02:25.730 --> 00:02:28.025] doctor
[00:02:28.177 --> 00:02:29.527] doctor
[00:02:31.147 --> 00:02:32.345] doctor
[00:02:58.400 --> 00:02:59.024] doctor
[00:03:10.972 --> 00:03:15.410] doctor
[00:03:17.063 --> 00:03:18.565] doctor
[00:03:35.423 --> 00:03:40.250] doctor
[00:03:41.785 --> 00:03:42.427] doctor
[00:04:15.974 --> 00:04:16.480] doctor
[00:04:18.185 --> 00:04:18.590] doctor
[00:04:18.640 --> 00:04:25.036] doctor
[00:04:25.137 --> 00:04:26.032] doctor
[00:04:31.043 --> 00:04:32.039] doctor
[00:04:32.444 --> 00:04:33.237] doctor
[00:04:33.946 --> 00:04:39.481] doctor
[00:04:55.394 --> 00:04:58.381] doctor
[00:04:58.972 --> 00:04:59.967] doctor
[00:05:00.031 --> 00:05:01.027] doctor
[00:05:01.297 --> 00:05:05.515] doctor
[00:05:06.663 --> 00:05:13.868] doctor
[00:05:07.051 --> 00:05:08.030] patient_1
[00:05:14.881 --> 00:05:16.602] doctor
[00:05:17.345 --> 00:05:27.031] doctor
[00:05:36.835 --> 00:05:37.392] doctor
[00:05:47.028 --> 00:05:49.357] doctor
[00:05:49.930 --> 00:06:00.089] doctor
[00:06:01.118 --> 00:06:08.965] doctor
[00:06:09.320 --> 00:06:15.023] doctor
[00:06:28.760 --> 00:06:42.023] doctor
[00:07:02.965 --> 00:07:10.087] doctor
[00:07:11.369 --> 00:07:29.662] doctor
[00:07:38.977 --> 00:07:44.039] doctor
[00:07:49.321 --> 00:07:50.030] doctor
[00:07:53.050 --> 00:07:56.797] doctor
[00:07:59.210 --> 00:08:20.540] doctor
[00:08:41.633 --> 00:08:46.797] doctor
[00:10:11.978 --> 00:10:14.510] doctor
[00:10:14.965 --> 00:10:17.041] doctor
[00:10:21.023 --> 00:10:32.178] doctor
[00:10:26.693 --> 00:10:28.972] patient_1
[00:12:03.202 --> 00:12:03.792] doctor
[00:12:17.343 --> 00:12:18.946] doctor
[00:12:38.318 --> 00:12:41.795] doctor
[00:12:41.812 --> 00:12:46.992] doctor
[00:12:49.861 --> 00:12:50.654] doctor
[00:12:51.903 --> 00:12:55.008] doctor
[00:12:59.362 --> 00:13:00.391] doctor
[00:13:00.880 --> 00:13:01.488] doctor
[00:13:02.922 --> 00:13:09.267] doctor
[00:13:05.690 --> 00:13:06.179] patient_1
[00:13:10.583 --> 00:13:12.355] doctor
[00:13:14.144 --> 00:13:16.118] doctor
[00:13:16.135 --> 00:13:18.481] doctor
[00:13:16.439 --> 00:13:17.350] patient_1
[00:13:19.291 --> 00:13:22.666] doctor
[00:13:23.257 --> 00:13:26.868] doctor
[00:13:25.687 --> 00:13:26.108] patient_1
[00:13:28.302 --> 00:13:31.255] doctor
[00:13:32.656 --> 00:13:34.023] doctor
[00:13:34.175 --> 00:13:35.542] doctor
[00:13:50.375 --> 00:13:52.231] doctor
[00:13:52.653 --> 00:13:56.028] doctor
[00:13:56.399 --> 00:14:04.668] doctor
[00:14:15.552 --> 00:14:17.628] doctor
[00:14:17.864 --> 00:14:19.771] doctor
[00:14:20.362 --> 00:14:23.669] doctor
[00:14:34.570 --> 00:14:37.237] doctor
[00:14:36.376 --> 00:14:36.815] patient_1
[00:14:40.021 --> 00:14:44.645] doctor
[00:14:45.657 --> 00:14:51.158] doctor
[00:14:47.480 --> 00:14:50.973] patient_1
[00:14:51.547 --> 00:14:57.520] doctor
[00:14:54.095 --> 00:14:54.668] patient_1
[00:14:58.195 --> 00:14:59.967] doctor
[00:15:45.712 --> 00:15:49.053] doctor
[00:15:50.690 --> 00:15:51.415] doctor
[00:15:52.377 --> 00:15:52.934] doctor
[00:15:58.250 --> 00:16:02.030] doctor
[00:16:28.321 --> 00:16:29.536] doctor
[00:16:31.021 --> 00:16:31.544] doctor
[00:17:15.976 --> 00:17:23.030] doctor
[00:17:37.863 --> 00:17:38.572] doctor
[00:17:38.977 --> 00:17:39.449] doctor
[00:17:41.963 --> 00:17:48.545] doctor
[00:17:46.688 --> 00:17:47.093] patient_1
[00:17:49.203 --> 00:17:52.038] doctor
[00:18:18.211 --> 00:18:20.995] doctor
[00:18:22.160 --> 00:18:24.202] doctor
[00:18:24.556 --> 00:18:33.449] doctor
[00:18:35.221 --> 00:18:41.920] doctor
[00:18:43.912 --> 00:18:54.543] doctor
[00:18:55.150 --> 00:18:57.395] doctor
[00:18:59.318 --> 00:19:01.495] doctor
[00:19:05.174 --> 00:19:28.208] doctor
[00:19:29.052 --> 00:19:31.043] doctor
[00:19:31.381 --> 00:19:34.368] doctor
[00:19:35.971 --> 00:19:46.568] doctor
[00:19:47.513 --> 00:19:54.550] doctor
[00:19:50.416 --> 00:19:51.277] patient_1
[00:19:57.183 --> 00:19:59.680] doctor
[00:20:00.031 --> 00:20:04.435] doctor
[00:20:05.296 --> 00:20:06.359] doctor
[00:20:06.393 --> 00:20:07.827] doctor
[00:20:08.080 --> 00:20:18.661] doctor
[00:20:10.477 --> 00:20:15.134] patient_1
[00:20:17.733 --> 00:20:19.538] patient_1
[00:20:19.538 --> 00:20:26.457] doctor
[00:20:26.963 --> 00:20:28.938] patient_1
[00:20:28.955 --> 00:20:32.363] patient_1
[00:20:34.237 --> 00:20:34.810] doctor
[00:20:35.654 --> 00:20:36.751] doctor
[00:20:37.358 --> 00:20:39.282] doctor
