================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۴_۱۸۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 5386
================================================================================

[00:00:00.807 --> 00:00:49.492] doctor
[00:00:04.418 --> 00:00:06.646] patient_1
[00:00:06.950 --> 00:00:08.063] patient_1
[00:00:51.483 --> 00:01:08.054] doctor
[00:01:08.223 --> 00:01:24.035] doctor
[00:01:25.165 --> 00:01:26.026] doctor
[00:01:30.312 --> 00:02:37.357] doctor
[00:01:44.048 --> 00:01:45.787] patient_1
[00:01:47.052 --> 00:01:54.393] patient_1
[00:01:58.004 --> 00:01:58.966] patient_1
[00:02:05.648 --> 00:02:06.020] patient_1
[00:02:06.526 --> 00:02:08.973] patient_1
[00:02:10.492 --> 00:02:11.099] patient_1
[00:02:38.588 --> 00:02:40.023] doctor
[00:02:40.057 --> 00:02:41.035] doctor
[00:02:48.967 --> 00:02:49.355] doctor
[00:02:50.958 --> 00:02:52.173] doctor
[00:02:52.308 --> 00:02:59.530] doctor
[00:02:54.907 --> 00:02:56.206] patient_1
[00:03:00.526 --> 00:03:31.171] doctor
[00:03:21.029 --> 00:03:25.619] patient_1
[00:03:32.268 --> 00:03:57.226] doctor
[00:03:33.010 --> 00:03:34.715] patient_1
[00:03:36.048 --> 00:03:38.107] patient_1
[00:03:39.018 --> 00:03:39.389] patient_1
[00:03:39.811 --> 00:03:40.638] patient_1
[00:03:57.277 --> 00:03:59.977] doctor
[00:04:00.213 --> 00:04:29.373] doctor
[00:04:07.452 --> 00:04:08.414] patient_1
[00:04:11.333 --> 00:04:12.667] patient_1
[00:04:14.978 --> 00:04:15.468] patient_1
[00:04:35.448 --> 00:04:37.034] doctor
[00:04:49.927 --> 00:04:51.513] doctor
[00:04:52.863 --> 00:04:59.967] doctor
[00:05:00.031 --> 00:05:03.912] doctor
[00:05:01.313 --> 00:05:02.039] patient_1
[00:05:05.212 --> 00:05:07.675] doctor
[00:05:07.777 --> 00:05:13.025] doctor
[00:05:13.328 --> 00:05:15.387] doctor
[00:05:20.011 --> 00:05:22.002] doctor
[00:05:22.255 --> 00:05:41.122] doctor
[00:05:41.206 --> 00:05:48.091] doctor
[00:05:44.058 --> 00:05:45.037] patient_1
[00:05:48.091 --> 00:05:49.036] patient_1
[00:05:49.306 --> 00:05:49.660] patient_1
[00:06:00.207 --> 00:06:07.480] patient_1
[00:06:03.565 --> 00:06:04.865] doctor
[00:06:17.791 --> 00:06:22.027] patient_1
[00:06:54.967 --> 00:06:58.088] doctor
[00:07:10.576 --> 00:07:13.748] patient_1
[00:07:14.272 --> 00:07:16.313] patient_1
[00:07:14.339 --> 00:07:20.735] doctor
[00:07:16.938 --> 00:07:25.038] patient_1
[00:07:48.325 --> 00:07:48.967] doctor
[00:07:48.967 --> 00:07:50.924] patient_1
[00:07:51.970 --> 00:07:53.118] patient_1
[00:08:15.106 --> 00:08:16.186] doctor
[00:08:16.912 --> 00:08:33.972] doctor
[00:08:34.360 --> 00:08:35.035] patient_1
[00:08:35.170 --> 00:08:38.039] patient_1
[00:08:38.107 --> 00:08:48.434] doctor
[00:08:49.008 --> 00:08:58.357] doctor
[00:08:58.357 --> 00:09:01.090] patient_1
[00:09:01.664 --> 00:09:07.807] doctor
[00:09:08.482 --> 00:09:16.328] doctor
[00:09:14.827 --> 00:09:15.653] patient_1
[00:09:16.784 --> 00:09:22.150] doctor
[00:09:22.420 --> 00:09:28.124] doctor
[00:09:28.276 --> 00:09:37.810] doctor
[00:09:37.574 --> 00:09:41.658] patient_1
[00:09:41.573 --> 00:09:49.471] doctor
[00:09:42.198 --> 00:09:44.442] patient_1
[00:09:50.956 --> 00:09:59.765] doctor
[00:09:51.007 --> 00:09:52.407] patient_1
[00:09:59.579 --> 00:09:59.967] patient_1
[00:10:00.031 --> 00:10:06.815] patient_2
[00:10:08.587 --> 00:10:30.203] patient_2
[00:10:10.004 --> 00:10:18.003] doctor
[00:10:21.243 --> 00:10:22.964] doctor
[00:10:30.355 --> 00:10:49.762] patient_2
[00:10:50.032 --> 00:10:51.500] patient_1
[00:10:50.453 --> 00:10:51.196] patient_2
[00:10:51.702 --> 00:10:56.039] patient_1
[00:10:56.039 --> 00:10:56.393] doctor
