================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۱_۱۸۰۰۱۸.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2822
================================================================================

[00:00:48.327 --> 00:00:49.036] patient_1
[00:04:13.966 --> 00:04:20.024] doctor
[00:05:21.968 --> 00:05:24.162] patient_1
[00:05:25.192 --> 00:05:30.035] patient_1
[00:05:38.978 --> 00:05:42.050] patient_1
[00:05:47.213 --> 00:05:49.576] patient_2
[00:05:52.343 --> 00:05:58.267] patient_2
[00:05:58.267 --> 00:06:01.355] patient_1
[00:06:02.114 --> 00:06:04.240] patient_1
[00:06:04.409 --> 00:06:10.467] patient_1
[00:06:10.990 --> 00:06:12.138] patient_1
[00:06:21.115 --> 00:06:22.027] patient_1
[00:06:29.840 --> 00:06:32.067] doctor
[00:06:33.181 --> 00:06:36.742] doctor
[00:11:46.748 --> 00:11:48.217] doctor
[00:18:41.583 --> 00:18:43.186] doctor
[00:18:44.418 --> 00:18:51.877] doctor
[00:18:54.188 --> 00:18:55.032] doctor
[00:18:58.222 --> 00:19:02.288] doctor
[00:19:02.474 --> 00:19:14.911] doctor
[00:19:58.972 --> 00:19:59.967] doctor
[00:22:23.975 --> 00:22:32.378] doctor
[00:22:32.952 --> 00:22:34.032] doctor
[00:22:53.843 --> 00:22:54.569] patient_1
[00:22:56.948 --> 00:22:57.775] patient_1
[00:23:05.926 --> 00:23:07.732] patient_1
[00:23:09.352 --> 00:23:11.039] patient_1
[00:23:13.030 --> 00:23:13.992] patient_1
[00:23:17.806 --> 00:23:43.861] patient_1
[00:28:49.177 --> 00:28:49.919] doctor
[00:28:50.813 --> 00:28:51.910] doctor
[00:29:05.680 --> 00:29:06.676] doctor
[00:29:34.891 --> 00:29:35.600] patient_1
[00:29:36.882 --> 00:29:37.692] patient_1
[00:29:38.823 --> 00:29:39.818] patient_1
[00:29:45.016 --> 00:29:45.792] patient_2
[00:29:46.653 --> 00:29:48.273] patient_2
[00:29:48.425 --> 00:29:49.032] patient_2
[00:29:49.589 --> 00:29:52.542] patient_2
[00:29:53.015 --> 00:29:56.542] patient_2
[00:29:56.744 --> 00:29:59.849] patient_2
[00:30:02.039 --> 00:30:02.967] doctor
[00:30:03.524 --> 00:30:04.570] patient_1
[00:30:04.874 --> 00:30:06.140] doctor
[00:30:07.810 --> 00:30:09.937] doctor
[00:30:10.763 --> 00:30:13.295] doctor
[00:30:13.379 --> 00:30:25.850] doctor
[00:30:25.158 --> 00:30:25.782] patient_1
[00:30:25.850 --> 00:30:29.562] patient_1
[00:30:27.520 --> 00:30:29.832] doctor
[00:30:30.322 --> 00:30:31.942] doctor
[00:30:34.152 --> 00:30:44.648] doctor
[00:30:45.020 --> 00:30:46.353] doctor
[00:30:47.905 --> 00:30:49.019] doctor
[00:30:49.610 --> 00:30:50.318] doctor
[00:30:51.415 --> 00:30:52.715] doctor
[00:30:53.963 --> 00:30:55.668] doctor
[00:30:56.849 --> 00:31:00.022] doctor
[00:31:01.355 --> 00:31:02.249] doctor
[00:31:02.367 --> 00:31:04.848] doctor
[00:31:05.354 --> 00:31:06.535] doctor
[00:31:09.860 --> 00:31:10.315] doctor
[00:31:12.323 --> 00:31:13.049] doctor
[00:31:13.640 --> 00:31:14.956] doctor
[00:31:15.158 --> 00:31:16.930] doctor
[00:31:16.930 --> 00:31:17.386] patient_1
[00:31:17.690 --> 00:31:19.664] doctor
[00:31:22.499 --> 00:31:24.558] doctor
[00:31:24.929 --> 00:31:32.084] doctor
[00:31:32.675 --> 00:31:35.594] doctor
[00:31:35.898 --> 00:31:41.332] doctor
[00:31:42.952 --> 00:31:45.044] doctor
[00:31:45.500 --> 00:31:52.469] doctor
[00:31:52.587 --> 00:31:57.025] doctor
[00:31:57.413 --> 00:31:57.835] patient_1
[00:31:58.932 --> 00:32:02.763] doctor
[00:32:02.392 --> 00:32:04.855] patient_1
[00:32:03.640 --> 00:32:10.947] doctor
[00:32:10.306 --> 00:32:10.762] patient_1
[00:32:14.457 --> 00:32:22.068] patient_1
[00:32:23.283 --> 00:32:29.729] doctor
[00:32:30.202 --> 00:32:54.974] doctor
[00:32:30.252 --> 00:32:31.535] patient_1
[00:32:56.020 --> 00:33:01.910] doctor
[00:33:02.872 --> 00:33:03.783] doctor
[00:33:05.048 --> 00:33:05.605] doctor
[00:33:07.597 --> 00:33:15.427] doctor
[00:33:16.473 --> 00:33:26.918] doctor
[00:33:28.572 --> 00:33:44.131] doctor
[00:33:44.249 --> 00:33:45.970] doctor
[00:33:46.038 --> 00:33:46.848] doctor
[00:33:47.810 --> 00:33:49.092] doctor
[00:33:50.240 --> 00:33:51.522] doctor
[00:33:52.535 --> 00:33:56.467] doctor
[00:33:56.737 --> 00:33:58.627] doctor
[00:33:59.909 --> 00:34:00.483] doctor
[00:34:00.702 --> 00:34:01.799] doctor
[00:34:02.221 --> 00:34:03.352] doctor
[00:34:03.841 --> 00:34:16.801] doctor
[00:34:17.273 --> 00:34:22.876] doctor
[00:34:24.715 --> 00:34:25.087] doctor
[00:34:26.555 --> 00:34:28.377] doctor
[00:34:33.406 --> 00:34:36.663] doctor
[00:34:53.335 --> 00:34:54.635] doctor
[00:34:55.360 --> 00:34:58.583] patient_1
[00:34:58.972 --> 00:34:59.967] patient_1
[00:35:05.245 --> 00:35:18.256] patient_1
[00:35:13.970 --> 00:35:14.543] doctor
[00:35:15.134 --> 00:35:17.412] doctor
[00:35:21.597 --> 00:35:22.559] doctor
[00:35:22.981 --> 00:35:24.179] doctor
[00:35:24.500 --> 00:35:25.107] doctor
[00:35:32.363 --> 00:35:34.422] patient_1
[00:35:36.717 --> 00:35:37.696] patient_1
[00:35:38.725 --> 00:35:39.485] patient_1
[00:35:42.809 --> 00:35:44.176] patient_1
[00:35:44.581 --> 00:35:58.283] patient_1
[00:35:48.715 --> 00:35:50.234] doctor
[00:35:59.347 --> 00:36:00.376] patient_1
[00:36:02.198 --> 00:36:05.573] patient_1
[00:36:20.407 --> 00:36:22.432] patient_1
[00:36:22.617 --> 00:36:27.022] patient_1
[00:36:29.536 --> 00:36:32.725] patient_1
[00:36:34.767 --> 00:36:37.400] patient_1
[00:36:38.463 --> 00:36:43.036] patient_1
[00:36:55.135 --> 00:36:56.182] patient_1
[00:36:57.143 --> 00:36:58.223] patient_1
[00:36:59.033 --> 00:37:00.316] patient_1
[00:37:01.767 --> 00:37:02.813] patient_1
